,age,season,Notes,position_digtt,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,name_digtt
136,34,12,6.0,6,205.74,84.67,67.83,8.31,2.8,1.53,-1.05,0.04,0.1,0.18,0.5,0.1,31
137,34,7,6.0,5,193.04,95.25,50.29,8.8,1.91,1.49,-3.8,0.01,0.1,0.22,0.49,0.13,54
138,31,5,6.0,5,195.58,99.34,41.6,9.24,3.18,0.86,-8.46,0.04,0.1,0.21,0.55,0.06,79
139,31,9,6.0,5,185.42,84.92,67.33,6.14,2.17,4.26,-0.21,0.01,0.08,0.13,0.52,0.26,27
140,33,8,6.0,2,200.66,111.98,60.88,8.4,3.96,1.22,-4.5,0.05,0.14,0.16,0.49,0.08,137
141,32,8,6.0,2,203.2,105.97,66.5,6.9,5.51,1.04,-3.71,0.11,0.19,0.16,0.55,0.08,162
142,35,6,6.0,3,208.28,111.13,56.0,2.73,2.97,0.77,-2.97,0.1,0.15,0.11,0.59,0.08,53
143,39,18,6.0,5,185.42,93.14,71.5,8.31,2.07,2.98,6.61,0.01,0.08,0.16,0.51,0.18,43
144,28,6,5.0,5,198.12,98.43,54.33,16.33,3.93,4.48,2.08,0.04,0.11,0.24,0.51,0.23,19
145,37,14,5.0,2,205.74,97.43,72.64,10.8,4.15,2.32,1.23,0.04,0.12,0.17,0.51,0.12,152
146,37,6,5.0,2,205.74,100.24,52.83,5.93,2.25,0.78,-4.77,0.03,0.14,0.19,0.5,0.09,17
147,41,18,5.0,5,190.5,85.45,67.61,13.52,2.91,8.16,4.77,0.02,0.08,0.2,0.59,0.38,150
148,32,10,5.0,0,210.82,113.4,54.2,3.49,2.62,0.66,-1.21,0.09,0.13,0.11,0.5,0.07,63
149,33,6,5.0,2,205.74,110.98,54.0,7.72,3.13,0.87,-3.43,0.04,0.16,0.2,0.54,0.08,110
150,35,12,5.0,2,205.74,110.34,74.42,17.21,7.58,3.43,-2.04,0.07,0.18,0.26,0.48,0.17,14
151,35,3,4.0,5,190.5,89.06,39.67,5.23,1.4,1.23,5.43,0.02,0.09,0.18,0.55,0.15,159
152,31,4,4.0,5,195.58,95.25,40.5,1.55,1.1,0.62,1.25,0.08,0.12,0.11,0.5,0.1,100
153,35,12,4.0,0,213.36,114.15,67.58,6.47,4.88,0.98,3.32,0.1,0.17,0.16,0.5,0.07,124
154,28,2,3.0,2,204.47,99.56,49.0,3.9,2.75,0.5,-4.8,0.05,0.17,0.12,0.51,0.06,130
155,37,8,3.0,2,200.66,102.06,64.25,9.52,4.12,1.05,-4.06,0.03,0.2,0.22,0.51,0.08,9
156,27,2,3.0,5,187.96,83.91,42.0,3.3,1.0,1.15,-9.85,0.03,0.08,0.22,0.43,0.21,114
157,31,4,3.0,4,200.66,97.52,18.25,3.72,1.23,0.8,-10.28,0.04,0.11,0.22,0.48,0.15,93
158,32,6,3.0,0,214.21,109.92,45.0,3.88,3.78,0.37,-4.1,0.12,0.22,0.19,0.44,0.06,164
159,33,6,3.0,5,182.88,84.67,50.0,5.05,1.18,2.27,-5.07,0.02,0.08,0.19,0.51,0.27,33
160,34,7,3.0,3,203.2,129.14,62.57,4.69,3.67,0.7,-0.77,0.12,0.19,0.18,0.5,0.08,131
161,31,8,3.0,5,186.37,84.94,32.75,5.87,1.64,2.01,-4.4,0.01,0.09,0.16,0.45,0.18,42
162,31,8,3.0,5,186.37,84.94,32.75,5.87,1.64,2.01,-4.4,0.01,0.09,0.16,0.45,0.18,42
163,26,4,2.0,5,193.04,89.58,40.0,4.72,1.42,4.32,-6.4,0.01,0.08,0.16,0.49,0.32,80
164,30,1,2.0,0,218.44,108.86,7.0,1.4,1.9,0.1,2.7,0.15,0.19,0.15,0.4,0.04,87
165,36,2,2.0,5,182.88,75.98,56.5,6.1,1.6,3.85,1.2,0.02,0.09,0.2,0.52,0.36,125
166,35,7,2.0,6,195.58,99.47,45.14,3.94,2.4,0.86,-1.74,0.04,0.15,0.15,0.44,0.1,59
167,38,10,2.0,0,218.44,127.01,69.9,4.62,5.62,0.65,4.62,0.13,0.21,0.12,0.51,0.05,57
168,33,11,2.0,1,198.12,109.77,58.55,3.43,4.67,1.13,3.39,0.1,0.22,0.11,0.52,0.1,29
169,28,1,2.0,2,205.74,105.23,40.0,3.9,2.0,0.5,-14.2,0.07,0.12,0.16,0.51,0.07,129
170,39,4,1.0,5,190.5,83.91,67.5,3.47,1.88,2.82,0.82,0.04,0.1,0.11,0.57,0.25,115
171,38,4,1.0,2,200.66,94.35,61.75,5.4,2.2,1.4,-3.75,0.03,0.11,0.18,0.47,0.14,72
172,33,1,1.0,6,198.12,92.99,41.0,3.0,1.7,0.5,-0.9,0.07,0.09,0.14,0.43,0.06,161
