Date,Team,Acquired,Relinquished,Notes
2012-04-04,Hawks,,• Vladimir Radmanovic,placed on IL with back injury
2012-04-04,Hawks,• Jannero Pargo,,activated from IL
2012-04-04,Heat,,• Eddy Curry,placed on IL
2012-04-04,Heat,• Dwyane Wade,,activated from IL
2012-04-04,Hornets,,• Emeka Okafor,placed on IL (P) with sore left knee (out for season)
2012-04-04,Hornets,• Eric Gordon,,activated from IL
2012-04-04,Timberwolves,,• Luke Ridnour,placed on IL with sprained right ankle (out for season)
2012-04-04,Timberwolves,• Michael Beasley,,activated from IL
2012-04-05,Bulls,,• Derrick Rose,placed on IL with strained groin
2012-04-05,Knicks,,• Jeremy Lin,placed on IL recovering from surgery on left knee to repair torn meniscus (out for season)
2012-04-05,Knicks,• Jared Jeffries,,activated from IL
2012-04-05,Magic,,• Quentin Richardson,placed on IL with sore back
 Date, Team, Acquired, Relinquished, Notes
2012-04-05,Magic,• Jameer Nelson,,activated from IL
2012-04-06,Raptors,,• Gary Forbes,placed on IL with sore left knee
2012-04-07,Bobcats,,• Eduardo Najera,placed on IL with fractured frontal bone (out for season)
2012-04-07,Bobcats,• Corey Maggette,,activated from IL
2012-04-07,Bucks,,• Luc Richard Mbah a Moute / Luc Mbah a Moute,placed on IL with right knee injury
2012-04-07,Bucks,• Carlos Delfino,,activated from IL
2012-04-08,Bulls,,• Brian Scalabrine,placed on IL
2012-04-08,Bulls,• Derrick Rose,,activated from IL
2012-04-08,Heat,,• Dwyane Wade,placed on IL with sore right ankle
2012-04-08,Heat,• Eddy Curry,,activated from IL
2012-04-08,Heat,• Mike Miller,,activated from IL
2012-04-08,Raptors,,• Solomon Alabi,placed on IL (P)
2012-04-08,Raptors,• Gary Forbes,,activated from IL
2012-04-08,Rockets,• Kyle Lowry,,activated from IL (P)
2012-04-09,Bucks,,• Jon Leuer,placed on IL
2012-04-09,Bucks,• Luc Richard Mbah a Moute / Luc Mbah a Moute,,activated from IL
2012-04-09,Magic,,• Dwight Howard,placed on IL with back spasms / herniated disc in back (out for season)
2012-04-09,Magic,,• Hidayet Turkoglu / Hedo Turkoglu,placed on IL recovering from surgery to repair facial fracture
2012-04-09,Magic,• Quentin Richardson,,activated from IL
2012-04-09,Magic,• Ryan Anderson,,activated from IL
2012-04-09,Mavericks,,• Lamar Odom,placed on IL
2012-04-09,Nuggets,,• Wilson Chandler,placed on IL with strained left groin
2012-04-09,Nuggets,• Danilo Gallinari,,activated from IL
2012-04-09,Raptors,,• Andrea Bargnani,placed on IL with left calf injury (out for season)
2012-04-09,Raptors,• Solomon Alabi,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2012-04-09,Warriors,• Chris Wright (b. 1988-09-30),,activated from IL
2012-04-09,Mavericks,• Kelenna Azubuike,,activated from IL
2012-04-10,Bulls,,• Derrick Rose,placed on IL with sprained right ankle
2012-04-10,Bulls,• Brian Scalabrine,,activated from IL
2012-04-10,Heat,,• Dexter Pittman,placed on IL
2012-04-10,Heat,• Dwyane Wade,,activated from IL
2012-04-10,Mavericks,,• Kelenna Azubuike,placed on IL
2012-04-10,Mavericks,• Jason Kidd,,activated from IL
2012-04-11,Celtics,,• Ray Allen,placed on IL with sore right ankle
2012-04-11,Celtics,• Mickael Pietrus,,activated from IL
2012-04-12,Bobcats,• DeSagana Diop,,activated from IL
2012-04-12,Bulls,,• Brian Scalabrine,placed on IL
2012-04-12,Bulls,• Derrick Rose,,activated from IL
2012-04-12,Clippers,• Maurice Williams / Mo Williams,,activated from IL
2012-04-13,Hawks,• Vladimir Radmanovic,,activated from IL
2012-04-13,Heat,,• Ronny Turiaf,placed on IL with strained left hamstring
2012-04-13,Heat,,• Udonis Haslem,placed on IL with stomach virus
2012-04-13,Heat,• Dexter Pittman,,activated from IL
